plot,treatment,colour,year,grain
18,N1+N2+N1 PKMg,#FFD700,1981,6.74
19,N1+N1+N1 KMg,#FF8C00,1981,4.84
21,FYM N2,#8B0000,1981,8.94
22,FYM,#FF0000,1981,7.99
3,Nil,#00BFFF,1981,1.49
5,PKMg,#FF00FF,1981,1.74
6,N1 PKMg,#FF4500,1981,4.69
7,N2 PKMg,#9ACD32,1981,6.45
8,N3 PKMg,#00FA9A,1981,6.77
9,N4 PKMg,#00FFFF,1981,7.29
10,N4,#8FBC8F,1982,2.52
11,N4 PMg,#7FFFD4,1982,1.96
12,N1+N3+N1 PKMg,#228B22,1982,3.46
13,N4 PK,#6B8E23,1982,5.17
14,N4 PKMg*,#008080,1982,5.81
15,N5 PKMg,#00008B,1982,6.61
16,N6 PKMg,#7B68EE,1982,5.48
17,N1+N4+N1 PKMg,#32CD32,1982,6.02
18,N1+N2+N1 PKMg,#FFD700,1982,6.26
19,N1+N1+N1 KMg,#FF8C00,1982,3.14
21,FYM N2,#8B0000,1982,8.2
22,FYM,#FF0000,1982,6.37
3,Nil,#00BFFF,1982,1.28
5,PKMg,#FF00FF,1982,1.4
6,N1 PKMg,#FF4500,1982,3.83
7,N2 PKMg,#9ACD32,1982,5.84
8,N3 PKMg,#00FA9A,1982,6.38
9,N4 PKMg,#00FFFF,1982,6.73
10,N4,#8FBC8F,1983,3.32
11,N4 PMg,#7FFFD4,1983,3.39
12,N1+N3+N1 PKMg,#228B22,1983,4.29
13,N4 PK,#6B8E23,1983,5.15
14,N4 PKMg*,#008080,1983,5.83
15,N5 PKMg,#00008B,1983,6.18
16,N6 PKMg,#7B68EE,1983,5.7
17,N1+N4+N1 PKMg,#32CD32,1983,6.08
18,N1+N2+N1 PKMg,#FFD700,1983,6.12
19,N1+N1+N1 KMg,#FF8C00,1983,3.25
21,FYM N2,#8B0000,1983,7.57
22,FYM,#FF0000,1983,5.28
3,Nil,#00BFFF,1983,1.82
5,PKMg,#FF00FF,1983,1.58
6,N1 PKMg,#FF4500,1983,4.01
7,N2 PKMg,#9ACD32,1983,5.3
8,N3 PKMg,#00FA9A,1983,6.09
9,N4 PKMg,#00FFFF,1983,6.26
10,N4,#8FBC8F,1984,2.95
11,N4 PMg,#7FFFD4,1984,2.02
12,N1+N3+N1 PKMg,#228B22,1984,3.97
13,N4 PK,#6B8E23,1984,5.91
14,N4 PKMg*,#008080,1984,5.5
15,N5 PKMg,#00008B,1984,6.1
16,N6 PKMg,#7B68EE,1984,5.58
17,N1+N4+N1 PKMg,#32CD32,1984,6.31
18,N1+N2+N1 PKMg,#FFD700,1984,5.87
19,N1+N1+N1 KMg,#FF8C00,1984,4.15
21,FYM N2,#8B0000,1984,8.42
22,FYM,#FF0000,1984,7.34
3,Nil,#00BFFF,1984,1.95
5,PKMg,#FF00FF,1984,1.79
6,N1 PKMg,#FF4500,1984,4.14
7,N2 PKMg,#9ACD32,1984,5.62
8,N3 PKMg,#00FA9A,1984,6.58
9,N4 PKMg,#00FFFF,1984,6.82
10,N4,#8FBC8F,1985,3.58
11,N4 PMg,#7FFFD4,1985,3.55
12,N1+N3+N1 PKMg,#228B22,1985,3.75
13,N4 PK,#6B8E23,1985,6.79
14,N4 PKMg*,#008080,1985,6.9
15,N5 PKMg,#00008B,1985,7.42
16,N6 PKMg,#7B68EE,1985,7.45
17,N1+N4+N1 PKMg,#32CD32,1985,7.4
18,N1+N2+N1 PKMg,#FFD700,1985,7.21
19,N1+N1+N1 KMg,#FF8C00,1985,3.93
21,FYM N2,#8B0000,1985,9.37
22,FYM,#FF0000,1985,7.98
3,Nil,#00BFFF,1985,1.78
